year,sig05,sig095,sig105,sig15,sig2,sig25,sig3,sig35,sig4,sig45,sig5
2113,7.91564267508465,7.33732080747579,5.52747575758072,3.54492453808837,2.97853126826122,2.46449547325611,2.01135434073669,1.62202561739851,1.29483836159416,1.02494511002615,0.805710901357999
2114,7.8220878031215,7.25060096613963,5.46214689477019,3.50302722770574,2.94332778232283,2.43536711504079,1.98758150629214,1.60285419827664,1.27953397331575,1.0128306364016,0.796187625365552
2115,7.72703917330983,7.16249651228767,5.39577494616981,3.46046097492446,2.90756225857796,2.40577373682628,1.96342917192584,1.58337675190497,1.263985299702,1.00052280472063,0.786512357212405
2116,7.63053837896949,7.07304599995483,5.32838895308839,3.41724440244319,2.87125034342419,2.37572828386172,1.93890790179256,1.56360179675237,1.24819914016661,0.988026996487349,0.776689326751533
2117,7.53263064633989,6.98229135070819,5.26002049394993,3.37339776026611,2.83440905062745,2.34524483285425,1.91402918353632,1.5435385960872,1.23218288874487,0.975349063937719,0.766723133922984
2118,7.43336480739616,6.89027782844451,5.190703665304,3.32894291351369,2.79705675107034,2.31433858347733,1.88880542135207,1.5231971523752,1.21594452961603,0.962495326490831,0.756618745960653
2119,7.3327932549462,6.79705399776378,5.12047505046391,3.28390332229952,2.75921315583486,2.28302584436463,1.8632499245474,1.50258819804903,1.19949262972964,0.949472564908045,0.746381492797547
2120,7.23097187958501,6.70267166552581,5.04937367547605,3.23830401348318,2.72089929245994,2.25132401345717,1.83737689149639,1.48172318256238,1.1828363284663,0.936288013105103,0.736017060626301
2121,7.12795998822217,6.60718580532655,4.97744095222229,3.19217154417176,2.68213747426678,2.21925155261538,1.81120138891336,1.46061425567026,1.16598532428635,0.922949347580207,0.725531483585793
2122,7.023820204049,6.51065446477052,4.90472060856185,3.14553395691012,2.64295126270144,2.18682795645401,1.78473932641244,1.43927424690814,1.14894985834426,0.909464674440647,0.714931133560254
2123,6.91861834797066,6.4131386555626,4.83125860553036,3.09842072657094,2.60336542270427,2.15407371540806,1.75800742635909,1.41771664127481,1.1317406950731,0.895842514031225,0.704222708093294
2124,6.81242330169412,6.31470222659615,4.75710304172899,3.05086269903005,2.56340587117754,2.1210102730885,1.73102318906218,1.39595555115796,1.11436909976985,0.882091783188962,0.693413216436167
2125,6.70530685283305,6.21541172037232,4.68230404515607,3.00289202178844,2.52309961868743,2.08765997804065,1.70380485339811,1.37400568457662,1.09684681324067,0.868221775170825,0.682509963766952
2126,6.59734352256364,6.11533621324536,4.60691365285377,2.95454206678018,2.48247470460086,2.05404603007092,1.6763713530026,1.35188230984934,1.07918602359349,0.854242137323488,0.671520533634903
2127,6.48861037653827,6.01454714014917,4.53098567886323,2.90584734568248,2.4415601259232,2.02019242136203,1.64874226820969,1.32960121683324,1.06139933529314,0.84016284658657,0.660452768701834
2128,6.37918681993377,5.91311810461793,4.45457557110084,2.85684341812072,2.40038576016672,1.98612387264986,1.62093777396056,1.30717867491342,1.04349973562273,0.825994182942824,0.649314749869745
2129,6.26915437767726,5.81112467506745,4.37774025788337,2.80756679323523,2.35898228264201,1.95186576478603,1.59297858394721,1.28463138795612,1.02550055872154,0.811746700950189,0.638114773900706
2130,6.15859646104987,5.70864416844984,4.30053798494032,2.75805482514741,2.31738107862413,1.9174440660604,1.56488589129586,1.26197644647187,1.00741544739575,0.797431199511117,0.626861329651192
2131,6.04759812201642,5.60575542253122,4.22302814385503,2.70834560292893,2.27561415090055,1.88288525570276,1.53668130613252,1.23923127726453,0.989258312922535,0.783058690053595,0.615563073057947
2132,5.93624579676515,5.50253855816796,4.14527109297044,2.65847783573849,2.23371402325939,1.84821624402588,1.50838679040779,1.21641359087037,0.971043293090085,0.768640363315999,0.6042288010264
2133,5.82462704006157,5.39907473306825,4.06732797187997,2.60849073384451,2.19171364052136,1.81346428970922,1.48002459038844,1.19354132711575,0.952784708736003,0.754187554943397,0.592867424384889
2134,5.71283025212468,5.29544588862285,3.98926051069638,2.55842388629895,2.14964626575835,1.77865691475517,1.45161716724965,1.17063259914347,0.934497019063354,0.739711710116442,0.581487940078436
2135,5.60094439981955,5.19173449146729,3.91113083535118,2.50831713606538,2.10754537537349,1.74382181767617,1.42318712622389,1.1477056362752,0.916194776027794,0.725224347445056,0.570099402784683
2136,5.48905873402502,5.08802327149905,3.83300127022279,2.45821045343405,2.06544455274228,1.70898678549162,1.39475714477852,1.12477872609094,0.897892578099748,0.710737022367539,0.558710896141129
2137,5.37726250507995,4.98439495811369,3.75493413942263,2.40814380857628,2.02337738113089,1.67417960512694,1.36634990030582,1.10187015611543,0.879605023713009,0.696261290301541,0.547331503777289
2138,5.26564467823375,4.88093201644508,3.67699156808388,2.35815704410055,1.98137733661624,1.63942797481442,1.33798799781457,1.07899815550599,0.86134666471457,0.681808669796127,0.535970280347877
